id,lat,lon,region,break_type,level,peak_season,swell_window,best_wind,size_ft_typical,water_aug_c,water_feb_c
asahi,35.70,140.72,chiba,beach,beginner,summer-autumn,E-SSW,NNE,2-6,26,14
sosa,35.62,140.54,chiba,beach,intermediate,year-round,E-S,N-NW,1-5,26,14
sakuta,35.55,140.45,chiba,beach,beginner,summer-autumn,NE-SSE,NW,1-4,26,14
ichinomiya,35.37,140.39,chiba,beach,intermediate,summer-autumn,NE-SE,W,2-7,26,14
fujisawa,35.31,139.47,shonan,beach,beginner,summer-autumn,E-SW,N-NE,1-4,27,15
katsuura,35.19,140.32,chiba,beach,intermediate,year-round,ESE-SSW,N,2-6,26,15
